trip_scope,trip_type,min_budget,max_budget,group_type,travel_month,recommended_destination
International,"Nature,Beach,Wildlife",135583,356787,"Couple,Family",April,Costa Rica
International,Adventure,191246,411338,"Couple,Solo","June,December,July",Norway
Domestic,Cultural,8449,25851,"Family,Solo",September,Tirupati
International,"Relaxation,Beach",87023,221448,"Friends,Solo","October,May,June",Portugal
Domestic,"Adventure,Nature",14467,42992,"Friends,Couple","September,January,November",Coorg
Domestic,"Cultural,Adventure",12810,38768,"Couple,Friends","December,January,November",Rann of Kutch
International,Beach,126511,306001,"Friends,Family","May,October,September",Greece
International,Luxury,83990,218630,"Friends,Couple",September,Turkey
International,"Cultural,Relaxation",90485,225623,Couple,"June,September",Zanzibar
Domestic,Cultural,8725,27364,"Solo,Friends","March,October,November",Amritsar
Domestic,Nature,10454,25300,Solo,"October,April,May",Chopta
International,"Nature,Cultural",203333,544593,"Couple,Solo","May,September",Australia
Domestic,"Nature,Relaxation,Adventure",12186,33627,Couple,"December,January",Shimla
International,Adventure,87211,197166,"Friends,Couple","May,October,April",Bhutan
International,"Wildlife,Cultural,Nature,Adventure",210572,477283,Friends,"September,December",Canada
International,"Cultural,Adventure,Pilgrimage",71434,173361,Solo,October,Egypt
International,"Pilgrimage,Nature,Adventure,Cultural",83463,192190,Couple,"November,October,April",Bhutan
International,"Relaxation,Luxury,Beach",89122,314466,Friends,"January,December",Maldives
Domestic,"Pilgrimage,Cultural",7631,26500,"Friends,Solo","March,January",Amritsar
International,"Beach,Adventure",51018,119558,"Friends,Couple",April,Malaysia
Domestic,Adventure,13728,33303,Friends,"April,October,September",Ziro Valley
Domestic,Cultural,13341,34771,"Friends,Couple",March,Ziro Valley
International,"Nature,Adventure",161476,367815,Couple,"June,September,August",Kenya
Domestic,"Adventure,Luxury",18418,82375,"Friends,Family","January,November,October",Rajasthan
Domestic,"Relaxation,Adventure",41409,95902,Couple,"November,January",Lakshadweep
International,Luxury,99848,282246,Friends,"January,March,November",Maldives
International,Adventure,194270,409732,"Friends,Solo","July,December",Iceland
Domestic,Nature,13448,40056,"Family,Friends","February,October",Sundarbans
Domestic,"Nature,Adventure,Cultural",19802,53810,"Solo,Friends","September,July",Spiti Valley
International,Relaxation,103364,274086,Friends,"July,October,September",Zanzibar
International,"Wildlife,Adventure,Cultural,Nature",187443,458821,Family,August,Canada
Domestic,"Nature,Relaxation",8613,26799,"Friends,Couple","October,April,November",Ooty
Domestic,"Adventure,Nature",10598,31704,Solo,March,Rishikesh
International,Adventure,117379,298167,"Friends,Solo","April,July,September",Peru
International,Adventure,20246,61466,"Couple,Solo","November,March,May",Nepal
Domestic,"Relaxation,Nature",9929,30803,"Couple,Family",October,Ooty
International,"Luxury,Cultural,Nature",115806,300133,Family,"September,October,April",Italy
International,"Pilgrimage,Cultural",73369,178377,"Friends,Solo","January,March",Egypt
International,Nature,75596,183236,"Couple,Friends","October,April",Bhutan
International,Beach,96622,239369,Family,October,Spain
Domestic,"Nature,Relaxation",15777,40815,"Family,Couple",March,Munnar
Domestic,Adventure,18881,51416,"Solo,Friends","December,February",Auli
International,"Nature,Luxury",126139,291838,"Family,Couple","April,October,May",Italy
International,Luxury,120237,305786,"Family,Friends","April,September,May",Italy
International,Relaxation,76134,168231,Couple,"May,June,September",Czech Republic
Domestic,"Cultural,Luxury",16441,51980,"Couple,Family","March,February",Jaipur
Domestic,Relaxation,13426,40317,Friends,"February,November,September",Coorg
International,"Beach,Relaxation",96210,267789,Friends,"May,June",Mauritius
International,Beach,99613,253855,Couple,August,Zanzibar
Domestic,"Cultural,Relaxation",8834,28156,"Solo,Couple",January,Pondicherry
International,"Beach,Luxury",69862,186840,"Friends,Couple","September,April",Turkey
Domestic,Adventure,21750,89121,Couple,"February,March,December",Rajasthan
International,"Cultural,Adventure",62598,165078,"Solo,Couple",March,Morocco
International,Nature,155790,397921,Friends,"June,July",Norway
International,"Cultural,Beach",109504,218705,Solo,September,Portugal
Domestic,"Adventure,Pilgrimage,Nature",9295,25562,"Solo,Friends",October,Chopta
International,"Cultural,Luxury",55276,144973,"Friends,Couple","September,April",Bali
International,Luxury,138454,391048,Couple,"May,October",Seychelles
Domestic,"Adventure,Nature",12236,33237,"Couple,Friends","October,May",Shimla
International,"Beach,Relaxation",85547,290778,Couple,April,Maldives
Domestic,Relaxation,10317,35085,Couple,"March,November,April",Shimla
International,Nature,102264,248331,Family,"October,March,November",Japan
Domestic,Adventure,13972,39331,Solo,November,Sundarbans
Domestic,"Adventure,Nature",10142,24641,"Solo,Friends",May,Chopta
Domestic,Cultural,13246,52931,Couple,"February,December,January",Goa
Domestic,Relaxation,13270,40709,Couple,March,Munnar
International,"Nature,Beach",210728,497404,Couple,November,Australia
Domestic,"Nature,Adventure",13132,35101,"Friends,Solo",September,Ziro Valley
International,Nature,129216,364475,"Family,Friends","July,February,December",Switzerland
International,"Nature,Wildlife,Adventure",186421,434428,"Couple,Family","October,August,September",Tanzania
Domestic,Cultural,13850,46733,Solo,"January,March,November",Goa
International,"Luxury,Beach",86089,212500,Family,"January,February,November",Dubai
International,"Luxury,Cultural,Beach",68494,192000,"Family,Couple","March,January",Dubai
Domestic,"Adventure,Nature",20558,48255,Couple,"December,March",Auli
International,"Relaxation,Beach",60773,153321,Solo,June,Bali
Domestic,"Cultural,Relaxation,Nature",19895,61316,Family,September,Kerala
International,Adventure,41353,88102,"Solo,Friends","November,February",Cambodia
Domestic,"Nature,Adventure",8965,24406,Solo,March,Hampi
Domestic,"Luxury,Cultural",18112,84360,"Family,Friends","October,January",Rajasthan
Domestic,"Nature,Relaxation",14692,39092,Family,"March,September,February",Munnar
Domestic,"Nature,Wildlife",19154,55527,"Family,Solo",December,Kaziranga
Domestic,"Adventure,Nature",18142,48958,Couple,December,Auli
International,"Nature,Cultural,Adventure",197121,472713,"Friends,Solo","September,January,August",Canada
International,"Nature,Cultural",74808,177695,"Friends,Couple",August,Singapore
International,"Nature,Cultural,Adventure,Beach",45459,117239,Couple,"January,December",Malaysia
Domestic,Cultural,7975,24765,Family,March,Amritsar
International,"Wildlife,Adventure,Nature,Cultural",124626,291833,Couple,"June,May",Peru
Domestic,"Luxury,Cultural",13709,52514,"Couple,Family",October,Jaipur
Domestic,Nature,13340,32898,Family,"September,May",Darjeeling
International,"Nature,Wildlife,Beach,Cultural",36860,91364,"Couple,Family",April,Sri Lanka
International,Nature,56598,154089,"Solo,Couple","March,December",Philippines
Domestic,"Nature,Adventure,Cultural",14230,42067,"Couple,Friends","December,October",Meghalaya
International,"Nature,Adventure,Pilgrimage",19581,59109,"Friends,Solo","May,October,March",Nepal
Domestic,"Cultural,Pilgrimage",7979,19931,Family,February,Mathura Vrindavan
Domestic,Adventure,14775,42265,Family,October,Coorg
International,"Cultural,Beach",121957,301269,Couple,"August,September,October",South Africa
Domestic,Relaxation,14243,41223,"Family,Couple","September,March,November",Munnar
International,Cultural,59745,163126,"Friends,Solo","July,April",Bali
International,"Beach,Luxury,Nature,Cultural",112321,298286,Family,May,Italy
Domestic,"Adventure,Pilgrimage",9029,28663,Solo,"September,April",Rishikesh
International,"Cultural,Luxury,Relaxation",129400,291150,Couple,"May,October",Greece
Domestic,Cultural,14297,39400,"Family,Friends","November,January",Rann of Kutch
Domestic,Pilgrimage,7713,27228,"Family,Couple",September,Tirupati
Domestic,"Beach,Relaxation,Cultural",13592,48050,"Couple,Solo",December,Goa
Domestic,"Relaxation,Nature",12936,31343,Couple,October,Darjeeling
Domestic,"Pilgrimage,Adventure",8938,22580,"Solo,Friends","October,June",Chopta
Domestic,"Adventure,Wildlife",15176,37952,Friends,"February,November,October",Sundarbans
International,"Wildlife,Beach",191240,518466,Friends,March,Australia
International,"Relaxation,Luxury",155546,361592,"Friends,Solo","September,June",Paris
International,Adventure,192941,425280,Family,"September,July",Tanzania
International,Luxury,150512,353699,"Solo,Friends","September,April,May",Paris
International,Cultural,94626,233941,Couple,"March,April",Mexico
Domestic,"Cultural,Relaxation,Beach",10949,31867,"Friends,Couple","December,October",Pondicherry
Domestic,"Nature,Adventure",15546,41022,"Couple,Friends","December,January,September",Coorg
International,"Wildlife,Nature",152053,332469,"Family,Friends",September,Kenya
International,Pilgrimage,84521,203019,"Couple,Solo","March,September",Jordan
International,"Nature,Adventure,Wildlife",194896,419820,"Family,Couple","September,October,August",Tanzania
Domestic,"Nature,Adventure,Beach",32155,73034,"Family,Friends","March,April",Andaman Islands
Domestic,"Nature,Relaxation",13515,39806,Family,"December,March",Munnar
Domestic,Nature,21021,55381,Solo,"December,March,February",Auli
International,"Relaxation,Beach,Cultural",89280,207587,Couple,"September,October",Portugal
International,"Adventure,Cultural",79910,190453,Couple,April,Bhutan
International,"Adventure,Nature,Beach",51046,136547,Solo,"May,July,September",Indonesia
International,"Beach,Relaxation",88623,224459,"Solo,Friends",September,Portugal
International,Nature,189732,422120,Friends,"August,July,June",Norway
International,"Pilgrimage,Adventure,Cultural",80620,192551,Solo,April,Jordan
International,"Adventure,Cultural,Beach",81892,198124,Family,"May,April",Turkey
Domestic,"Adventure,Nature",16444,44289,Couple,December,Manali
International,"Adventure,Nature",189345,441809,"Couple,Friends",December,Norway
Domestic,"Luxury,Adventure,Cultural",20928,84027,Couple,"November,January",Rajasthan
International,"Adventure,Pilgrimage,Cultural",82940,188041,Friends,October,Egypt
Domestic,Nature,10170,25633,"Solo,Friends",March,Hampi
International,"Relaxation,Beach",97382,207874,"Solo,Friends","April,September",Portugal
Domestic,"Nature,Relaxation",15419,43714,"Couple,Family","March,October",Munnar
Domestic,"Beach,Cultural,Relaxation",16233,54341,Couple,"March,February,November",Goa
International,Adventure,148543,378396,Friends,"October,July",Kenya
Domestic,"Cultural,Adventure,Luxury",18219,82059,Friends,"January,March,February",Rajasthan
International,"Cultural,Relaxation",72217,174837,Couple,"October,June,May",Czech Republic
International,Wildlife,140372,360586,Family,"July,August,June",Kenya
International,Wildlife,169759,409275,"Couple,Family","July,June,October",Tanzania
International,"Nature,Cultural,Beach",130576,295141,Couple,"April,September",Italy
Domestic,Pilgrimage,6818,25074,"Family,Couple","February,October,September",Tirupati
International,"Cultural,Beach,Adventure",64891,162319,Couple,September,Morocco
Domestic,"Nature,Cultural,Adventure",16264,44776,Couple,"November,February",Rann of Kutch
Domestic,"Relaxation,Nature,Cultural",17400,55258,"Solo,Couple",January,Kerala
International,"Cultural,Luxury",111533,265071,Family,"October,June",Spain
International,"Pilgrimage,Adventure",20620,60046,Couple,"November,May,March",Nepal
International,"Relaxation,Luxury",93315,322647,Friends,"December,November,February",Maldives
Domestic,"Nature,Adventure,Cultural",14886,38921,Friends,"December,February",Rann of Kutch
Domestic,"Luxury,Cultural,Adventure",20682,79664,Family,"October,November",Rajasthan
International,"Relaxation,Cultural",80670,193513,Friends,September,Czech Republic
International,"Beach,Adventure,Relaxation,Cultural",52224,129775,Friends,"December,March",Thailand
International,Cultural,133574,324984,"Solo,Friends",April,Paris
International,Cultural,87052,201085,"Solo,Couple",October,Czech Republic
International,"Adventure,Cultural,Nature",55004,142462,Solo,July,Indonesia
International,Cultural,34348,80228,"Solo,Couple","January,November",Cambodia
Domestic,"Nature,Cultural,Adventure",17961,46809,"Friends,Solo","August,September,July",Spiti Valley
International,"Adventure,Cultural,Nature",55090,136745,"Solo,Friends",May,Indonesia
International,"Adventure,Nature,Cultural,Beach",56277,150824,"Friends,Solo","June,August,April",Indonesia
International,"Beach,Adventure,Cultural",117528,301264,"Family,Couple","October,June",South Africa
International,"Relaxation,Cultural",82783,186860,Solo,"June,April,September",Czech Republic
International,Nature,192127,419375,"Family,Friends","August,September",Canada
International,"Cultural,Relaxation",86670,188724,"Solo,Friends","May,April,September",Czech Republic
Domestic,"Nature,Adventure",10664,25408,"Solo,Couple","December,October",Hampi
International,"Adventure,Cultural,Nature,Beach",47801,125152,"Friends,Couple","April,June,July",Malaysia
Domestic,Luxury,14632,48195,"Family,Couple",January,Jaipur
International,"Beach,Cultural,Relaxation,Luxury",118480,273322,"Couple,Family","May,October,June",Greece
International,Adventure,218878,544485,Solo,"November,October",Australia
International,"Relaxation,Cultural",99879,237411,Couple,June,Zanzibar
Domestic,Relaxation,10927,29179,Friends,November,Ooty
Domestic,Nature,13956,38225,"Friends,Family","December,January",Rann of Kutch
International,"Adventure,Nature",119401,304596,Solo,April,Peru
Domestic,"Nature,Relaxation",8830,29527,"Couple,Friends",May,Ooty
International,"Luxury,Nature",69420,190631,"Friends,Couple","August,March,April",Singapore
International,Nature,61218,180171,"Friends,Family","February,April",Singapore
Domestic,"Nature,Adventure",14020,39354,Family,"October,December",Coorg
Domestic,"Nature,Adventure",9856,29934,Solo,"September,April",Rishikesh
Domestic,Cultural,13302,48629,"Family,Friends","January,February",Jaipur
International,Luxury,76570,201267,Friends,"November,February,March",Dubai
International,"Wildlife,Nature",162665,364958,Couple,September,Tanzania
Domestic,Cultural,20430,54353,Friends,"July,September",Spiti Valley
International,"Wildlife,Adventure",184367,412337,"Friends,Solo","June,December,July",Canada
International,Relaxation,103404,218803,"Friends,Solo",September,Portugal
Domestic,Nature,14254,37167,Friends,December,Manali
International,"Cultural,Adventure,Wildlife,Nature,Beach",207727,536404,Family,"November,March",Australia
Domestic,Relaxation,17513,61314,Solo,February,Kerala
International,"Nature,Cultural,Beach",36611,96718,Couple,"April,December",Sri Lanka
Domestic,"Wildlife,Nature,Adventure",13657,40273,Family,"December,October,November",Sundarbans
Domestic,"Adventure,Nature",17752,51744,"Solo,Couple",January,Auli
International,"Cultural,Adventure,Wildlife,Nature",133469,311702,Friends,April,Peru
International,Pilgrimage,70650,167674,"Solo,Friends","March,May,April",Bhutan
International,Adventure,68474,160772,"Solo,Couple","April,March",Bhutan
Domestic,"Wildlife,Adventure",13521,40723,"Solo,Family","September,October",Sundarbans
Domestic,Nature,19275,48975,"Couple,Friends","December,January",Auli
International,Cultural,74027,184622,Couple,"November,January,February",Dubai
Domestic,"Luxury,Cultural",15154,54302,Family,"November,December,October",Jaipur
International,Wildlife,187563,453890,"Family,Friends","August,September",Canada
International,"Pilgrimage,Cultural",84905,209456,"Solo,Couple","November,March,September",Jordan
International,"Adventure,Cultural,Luxury,Beach",83679,204097,Friends,"September,May",Turkey
International,"Adventure,Wildlife",187685,399364,Couple,"February,December,March",New Zealand
Domestic,Luxury,13428,50990,Friends,"November,March",Jaipur
Domestic,Nature,10664,33064,"Couple,Family",April,Shimla
International,"Cultural,Pilgrimage",83277,189474,Solo,"April,October,May",Bhutan
International,"Nature,Wildlife",189079,409816,Family,"July,October",Tanzania
International,Cultural,112123,278184,Friends,September,Peru
Domestic,"Relaxation,Adventure",43742,94280,Couple,December,Lakshadweep
International,"Luxury,Relaxation",153225,373934,Friends,October,Paris
Domestic,Adventure,9254,23265,"Solo,Friends","September,April,May",Chopta
Domestic,"Cultural,Relaxation",9904,29716,Friends,February,Pondicherry
Domestic,Nature,13180,37421,"Couple,Friends","January,November",Coorg
International,"Beach,Cultural,Adventure,Relaxation",98688,236221,Solo,November,Mexico
Domestic,"Adventure,Relaxation,Nature",12754,38999,"Family,Couple","May,December",Shimla
International,"Beach,Cultural",105173,262930,Couple,"March,February,November",Mexico
Domestic,Nature,21139,50172,"Friends,Solo",July,Spiti Valley
Domestic,"Cultural,Pilgrimage",8588,27127,Couple,"December,March",Tirupati
Domestic,"Pilgrimage,Cultural",7872,19844,Couple,March,Mathura Vrindavan
International,"Cultural,Nature,Luxury",102323,239084,Couple,"November,March,April",Japan
Domestic,"Nature,Relaxation,Adventure",14068,40179,"Family,Friends","September,November,January",Coorg
Domestic,Cultural,9746,29288,"Couple,Solo","February,January",Pondicherry
Domestic,Nature,18491,50011,"Solo,Friends",June,Spiti Valley
International,"Pilgrimage,Adventure",17082,58309,Friends,"April,March",Nepal
Domestic,"Wildlife,Nature",21318,52925,Friends,"November,March,January",Kaziranga
International,"Luxury,Cultural",73443,195803,"Family,Friends",July,Singapore
International,"Cultural,Pilgrimage",85869,186981,"Friends,Solo","March,October,April",Jordan
Domestic,"Nature,Cultural",14232,35228,"Solo,Family",April,Darjeeling
International,"Luxury,Beach",76976,214479,Friends,January,Dubai
International,Luxury,89557,231132,"Friends,Couple","May,August,June",Mauritius
International,Relaxation,86767,221570,"Couple,Friends","September,April,June",Portugal
International,"Adventure,Pilgrimage,Cultural",70702,165472,"Solo,Friends",November,Egypt
Domestic,Cultural,9092,25877,"Family,Couple","January,February,November",Mysuru
International,"Pilgrimage,Cultural",76437,169348,Couple,"November,January",Egypt
International,"Nature,Cultural,Adventure",142245,321549,Friends,August,Peru
International,"Beach,Luxury,Relaxation",128280,371280,"Couple,Friends","October,May,November",Seychelles
International,"Adventure,Wildlife",185145,411726,Couple,"August,July",Tanzania
International,"Luxury,Nature",130800,386953,Family,"July,June",Switzerland
International,"Relaxation,Cultural",77195,182182,"Friends,Couple","June,October,April",Czech Republic
International,"Adventure,Wildlife",110693,270465,"Friends,Family",September,South Africa
Domestic,"Wildlife,Adventure,Nature",12951,37694,"Friends,Solo","December,January",Sundarbans
International,"Adventure,Cultural,Wildlife,Beach,Nature",181293,481839,"Couple,Friends","November,May,September",Australia
International,"Adventure,Nature",19127,57672,Friends,"May,March",Nepal
International,Adventure,161622,361371,Friends,February,New Zealand
Domestic,Nature,15798,39754,Couple,"October,January,February",Coorg
Domestic,Adventure,15401,37958,Family,November,Rann of Kutch
International,"Pilgrimage,Adventure",90503,201963,Couple,November,Jordan
International,"Nature,Wildlife",111822,269070,Solo,August,Peru
International,"Cultural,Adventure",50284,125546,Solo,"November,January",Thailand
Domestic,"Adventure,Nature,Cultural",14745,39815,"Family,Couple",November,Rann of Kutch
International,"Relaxation,Beach,Luxury",99363,250896,Couple,June,Mauritius
Domestic,"Adventure,Pilgrimage",8652,23201,Friends,"September,October",Chopta
International,"Cultural,Luxury,Beach",72111,204973,Friends,"December,February,November",Dubai
International,"Adventure,Cultural",86074,191161,Couple,"January,December",Egypt
International,"Luxury,Cultural,Relaxation",60907,157224,Couple,"May,April,July",Bali
Domestic,Nature,14036,41437,"Friends,Solo","October,November,January",Sundarbans
International,"Cultural,Luxury,Beach",103576,252262,"Solo,Family",June,Spain
International,Relaxation,113787,240538,"Friends,Solo","September,October",Spain
Domestic,Pilgrimage,8110,26400,"Couple,Solo","November,February,September",Tirupati
International,"Adventure,Beach,Relaxation,Cultural",52244,116557,Friends,"February,December,November",Thailand
International,"Luxury,Nature,Adventure",159331,437572,Friends,July,Switzerland
Domestic,Cultural,15767,41939,"Couple,Friends",December,Rann of Kutch
International,Relaxation,96880,258881,"Family,Solo","January,February",Mexico
International,"Wildlife,Cultural,Adventure,Nature,Beach",187610,521745,Friends,"May,October,November",Australia
International,"Relaxation,Cultural,Luxury",129892,353826,Solo,April,Paris
Domestic,"Adventure,Beach",37378,92298,Friends,"December,October",Lakshadweep
International,"Wildlife,Cultural",113012,280298,"Friends,Family",August,South Africa
International,"Luxury,Relaxation,Beach",103291,272047,"Couple,Friends","September,April",Mauritius
International,Adventure,181140,410981,Couple,"December,November,June",Norway
International,"Wildlife,Nature,Adventure",196633,436940,"Friends,Family",September,Tanzania
International,Pilgrimage,81217,185428,Solo,"October,January",Egypt
International,"Relaxation,Beach",106424,229100,Solo,"May,April,October",Portugal
International,"Cultural,Nature,Beach",60023,160534,"Friends,Solo",June,Indonesia
International,"Cultural,Beach,Nature,Adventure",51991,154593,Couple,"April,February",Philippines
International,"Beach,Adventure,Relaxation",97565,233264,Friends,"March,December,February",Mexico
International,"Cultural,Beach,Luxury",113627,292219,Family,October,Greece
International,"Cultural,Adventure,Nature",82625,197214,"Solo,Couple","March,April,May",Bhutan
Domestic,Beach,29135,65423,"Family,Couple","January,March",Andaman Islands
Domestic,"Wildlife,Adventure",18366,64291,"Couple,Friends","November,April",Jim Corbett
Domestic,Adventure,8833,23654,Couple,"March,October,December",Hampi
International,"Adventure,Nature",162304,367925,"Couple,Friends","December,July",Iceland
Domestic,Cultural,17637,56719,Family,"January,October,December",Kerala
International,Adventure,76837,202873,Couple,"October,May,September",Turkey
Domestic,"Cultural,Adventure,Nature",8839,22616,"Solo,Friends","January,November,October",Hampi
International,"Cultural,Adventure,Beach,Nature",60201,159907,Friends,"January,April,February",Philippines
International,"Adventure,Beach,Nature",63087,160826,Couple,"August,July",Indonesia
International,"Wildlife,Adventure,Cultural",195768,462740,Solo,"August,December",Canada
International,Wildlife,159594,381007,"Family,Friends","September,June",Tanzania
Domestic,"Beach,Nature,Adventure",30779,67784,"Couple,Family","October,March",Andaman Islands
International,"Relaxation,Beach,Luxury,Cultural",125663,304959,"Friends,Family",September,Greece
Domestic,Adventure,17812,56216,Couple,"December,January",Jim Corbett
International,"Adventure,Cultural,Beach",50604,116123,Family,March,Malaysia
International,"Cultural,Adventure,Beach,Nature",38600,102938,Friends,September,Vietnam
International,Luxury,77941,193070,"Friends,Couple","October,April",Turkey
International,Adventure,163802,371780,"Family,Couple","February,January",Costa Rica
Domestic,"Nature,Adventure",20268,52463,"Friends,Solo","June,July",Spiti Valley
International,Luxury,104303,256196,"Solo,Couple",March,Japan
International,Luxury,99570,269920,Family,"March,April,October",Japan
International,"Nature,Wildlife",218105,489493,Solo,January,Canada
Domestic,Cultural,9101,22853,Friends,"January,September",Mysuru
Domestic,Nature,13849,40277,Solo,February,Manali
International,"Relaxation,Beach",97788,234889,"Couple,Friends","August,September",Mauritius
International,Adventure,85046,179119,"Friends,Family","October,March",Egypt
International,"Wildlife,Nature",114162,273503,Solo,May,Peru
International,"Luxury,Cultural,Beach",87585,195632,"Family,Couple","May,September,October",Turkey
Domestic,"Nature,Beach,Adventure",28946,71614,Couple,"March,December",Andaman Islands
International,"Adventure,Beach,Nature,Cultural",49442,127200,Friends,April,Malaysia
International,"Luxury,Cultural,Beach",81266,199197,"Family,Couple",December,Dubai
International,"Beach,Adventure,Cultural",124971,306016,"Couple,Family","October,July,September",South Africa
Domestic,"Adventure,Cultural,Luxury",17231,85990,"Family,Friends",October,Rajasthan
Domestic,"Nature,Relaxation,Cultural",19527,58038,Solo,"October,November",Kerala
Domestic,Nature,20229,54038,"Friends,Solo","August,July",Spiti Valley
Domestic,"Nature,Cultural",14714,34692,Couple,"October,September",Darjeeling
Domestic,"Nature,Cultural,Relaxation",19972,62165,Solo,January,Kerala
International,"Cultural,Adventure",97340,204120,Solo,"May,November",Jordan
Domestic,"Nature,Adventure,Cultural",15731,39288,"Family,Couple","December,January",Rann of Kutch
International,"Adventure,Nature",158662,369459,Friends,"December,November",New Zealand
International,Adventure,42620,108041,"Solo,Couple","November,March,February",Thailand
Domestic,"Cultural,Pilgrimage",8357,21228,Solo,"February,March,October",Mathura Vrindavan
International,"Cultural,Nature,Luxury",62673,183663,Friends,"March,February",Singapore
International,Cultural,172786,414247,"Solo,Couple",December,Canada
International,"Luxury,Nature,Cultural",90389,256309,"Couple,Solo",November,Japan
International,"Adventure,Nature",37885,95334,"Solo,Couple","November,February",Cambodia
International,"Wildlife,Adventure,Beach,Cultural",124029,301407,Couple,"October,June",South Africa
Domestic,"Nature,Relaxation",12588,36688,Couple,"December,May",Shimla
Domestic,Nature,10490,31319,Solo,"April,October,February",Rishikesh
International,"Luxury,Cultural",152325,379346,Couple,May,Paris
International,"Beach,Adventure,Nature,Cultural",54940,157450,"Friends,Solo",January,Philippines
Domestic,"Relaxation,Cultural",15581,34150,"Solo,Family","May,April",Darjeeling
International,"Cultural,Adventure",169671,378285,"Couple,Solo",November,Norway
International,"Wildlife,Adventure,Nature",163754,371788,Family,October,Kenya
Domestic,"Pilgrimage,Adventure",10334,33161,"Friends,Couple","March,September,November",Rishikesh
Domestic,"Beach,Cultural",16045,54822,"Couple,Friends",January,Goa
Domestic,Cultural,10296,24888,"Couple,Solo","February,March,November",Hampi
Domestic,Adventure,17576,86132,"Friends,Couple","February,December,October",Rajasthan
International,"Nature,Wildlife,Adventure",166305,378789,Couple,February,New Zealand
International,"Adventure,Cultural",52687,118887,"Solo,Family",January,Thailand
Domestic,"Beach,Cultural",8821,27304,"Solo,Friends","March,February,October",Pondicherry
Domestic,Cultural,9651,23732,"Couple,Friends","December,October,February",Mysuru
Domestic,Nature,8701,27455,"Solo,Friends","April,October",Rishikesh
Domestic,"Nature,Cultural",13844,36856,Friends,March,Meghalaya
Domestic,"Pilgrimage,Cultural",7074,17908,Family,January,Mathura Vrindavan
International,"Adventure,Wildlife",133879,342241,"Solo,Friends",February,Costa Rica
Domestic,Nature,21838,60180,"Family,Friends","January,February",Kaziranga
International,Beach,35871,93813,"Couple,Solo","April,September",Vietnam
International,"Beach,Nature",34930,99035,"Friends,Solo","April,March,August",Vietnam
International,Beach,99152,246739,"Couple,Friends","September,August,October",Zanzibar
Domestic,"Pilgrimage,Cultural",7249,23775,Family,"October,December",Amritsar
Domestic,Cultural,21411,49729,Solo,September,Spiti Valley
Domestic,Adventure,9288,23950,Solo,October,Hampi
International,Relaxation,128216,284630,Couple,"October,September",Greece
International,"Beach,Cultural",85376,219189,Family,"January,December,March",Dubai
International,Beach,134645,357741,"Family,Friends",January,Costa Rica
International,"Beach,Luxury,Nature,Cultural",118943,284844,Family,"June,September",Italy
Domestic,Relaxation,9841,30114,"Family,Couple",June,Ooty
International,"Beach,Cultural",114024,274561,Friends,"May,June,September",Greece
International,Luxury,131775,404232,"Friends,Family","August,February,June",Switzerland
Domestic,Nature,13622,39884,Friends,November,Manali
International,"Nature,Adventure,Wildlife",177184,396633,"Friends,Couple",June,Tanzania
International,Beach,123140,302791,"Couple,Family","October,May",Greece
Domestic,"Nature,Cultural,Adventure",22814,55113,"Solo,Couple","August,September",Ladakh
Domestic,Nature,18618,47478,Solo,September,Spiti Valley
Domestic,"Nature,Relaxation",21725,64635,"Solo,Couple",September,Kerala
International,"Cultural,Wildlife,Beach,Adventure",118947,276020,"Family,Friends","June,August,September",South Africa
International,Nature,62286,176860,Friends,July,Singapore
International,"Beach,Nature,Adventure,Cultural",34675,98179,Friends,April,Vietnam
International,Beach,85116,291805,"Friends,Couple","February,April",Maldives
Domestic,"Beach,Nature",31085,74137,"Couple,Friends",December,Andaman Islands
Domestic,"Nature,Adventure",13598,37776,Solo,"January,December",Meghalaya
International,"Relaxation,Beach,Luxury,Cultural",110467,268411,Friends,"October,May",Greece
Domestic,"Beach,Adventure,Relaxation",38855,91467,"Friends,Couple","January,March",Lakshadweep
Domestic,"Adventure,Nature",21871,58407,"Couple,Family","December,March,April",Jim Corbett
Domestic,Cultural,14653,47893,"Solo,Friends","November,January,February",Goa
Domestic,Nature,16215,36380,"Solo,Couple","March,April",Ziro Valley
International,Cultural,38996,96057,Friends,"November,January",Cambodia
International,"Nature,Luxury",148392,373402,Couple,"June,December",Switzerland
Domestic,"Pilgrimage,Cultural",7501,23995,Family,February,Amritsar
Domestic,"Adventure,Nature,Cultural",10881,24916,Couple,"January,December,November",Hampi
International,Relaxation,103115,254788,Friends,"September,October",Zanzibar
International,"Beach,Cultural,Adventure,Nature",53790,143379,"Friends,Couple","April,January,December",Philippines
International,Nature,114463,300109,Couple,"September,April",Italy
International,Adventure,154040,405379,Solo,"August,July,December",Norway
International,"Wildlife,Adventure,Cultural",129573,294023,Friends,August,South Africa
Domestic,"Wildlife,Nature",18476,56940,"Friends,Family","May,November,March",Jim Corbett
International,"Cultural,Relaxation",125529,286943,"Couple,Friends",October,Greece
International,"Luxury,Cultural,Relaxation,Beach",104917,261332,Friends,"June,May,October",Greece
International,"Nature,Adventure",53249,134872,Couple,April,Indonesia
Domestic,"Cultural,Relaxation",8906,31859,Solo,"November,December,February",Pondicherry
International,"Nature,Wildlife,Beach,Adventure",130664,329043,"Couple,Solo","February,April,December",Costa Rica
International,"Beach,Luxury,Nature",116253,294650,"Friends,Family",October,Italy
